id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
2188,1000,100013,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2189,1000,100014,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2190,1000,100015,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2191,1000,100016,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2192,1000,100017,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2193,1000,100018,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2194,1000,100019,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2195,1000,100020,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2196,1000,100021,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2197,1000,100022,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2198,1000,100023,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2199,1000,100024,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2200,1000,100025,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2201,1000,100026,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2202,1000,100027,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2203,1000,100028,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2204,1000,100029,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
2205,1000,100030,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2206,1000,100031,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,รับประทานติดต่อกันจนยาหมด 
2207,1000,100032,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2208,1000,100033,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2209,1000,100034,ฆ่าเชื้อแบคทีเรีย,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2210,1000,100035,ฆ่าเชื้อแบคทีเรีย,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2211,1000,100036,ฆ่าเชื้อแบคทีเรีย,เช้า-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2212,1000,100037,ฆ่าเชื้อในทางเดินหายใจ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
2213,1000,100038,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
2214,1000,100039,ขยายหลอดลม,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2215,1000,100040,ขยายหลอดลม และขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2216,1000,100041,ขยายหลอดลม,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2217,1000,100042,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2218,1000,100043,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2219,1000,100044,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2220,1000,100045,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2221,1000,100046,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2222,1000,100047,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2223,1000,100048,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2224,1000,100049,บรรเทาอาการไอ ระคายเคืองคอ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2225,1000,100050,บรรเทาอาการไอ ระคายเคืองคอ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
2226,1000,100051,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
2227,1000,100052,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
2228,1000,100053,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
2229,1000,100054,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
2230,1000,100055,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
2231,1000,100056,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
2232,1000,100057,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
2233,1000,100058,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
2234,1000,100059,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
2235,1000,100060,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
2236,1000,100061,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
2237,1000,100062,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
2238,1000,100063,บรรเทาอาการคัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
2239,1000,100064,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
2240,1000,100065,แก้แพ้ผื่นคัน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,ยานี้ทำให้ง่วงนอน
2241,1000,100066,บรรเทาอาการไอ ลดไข้ น้ำมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
