id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
3387,1,100082,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3388,1,100083,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3389,1,100084,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3390,1,100085,เสริมวิตามินบี,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,NULL,NULL
3391,1,100086,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3392,1,100087,บำรุงโลหิต,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3393,1,100088,บรรเทาอาการ เหน็บชา,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3394,1,100089,บำรุงโลหิต,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,พร้อมอาหาร,เก็บในอุณหภูมิห้อง,NULL
3395,1,100090,บรรเทาอาการ เหน็บชา,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3396,1,100091,รักษาโรคโลหิตจาง,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3397,1,100092,รักษาโรคโลหิตจาง,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3398,1,100093,ละลายเสมหะ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 ซอง,หลังอาหาร,NULL,ผสมน้ำ ครึ่งแก้ว
3399,1,100094,ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 ซอง,หลังอาหาร,NULL,ผสมน้ำ ครึ่งแก้ว
3400,1,100095,ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 ซอง,หลังอาหาร,NULL,ผสมน้ำ ครึ่งแก้ว
3401,1,100096,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3402,1,100097,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3403,1,100098,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3404,1,100099,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3405,1,100100,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3406,1,100101,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3407,1,100102,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
3408,1,100103,ลดน้ำมูก  ขยายหลอดลม ไอ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,ดื่มน้ำตามมากๆ
3409,1,100104,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3410,1,100105,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3411,1,100106,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3412,1,100107,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
3413,1,100108,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
